epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,1840.24,0.82972,1.12989,0.99706,0.80092,0.85714,0.86236,0.60203,1.08306,1.49677,1.09334,0.000757924,0.000757924,0.000757924
31,1901.82,0.79458,0.85832,0.95376,0.86436,0.91059,0.91297,0.63722,1.05804,1.33161,1.08511,0.00074704,0.00074704,0.00074704
32,1961.94,0.83459,1.00296,0.9999,0.85918,0.87208,0.89994,0.59291,1.09945,1.29336,1.0888,0.00073378,0.00073378,0.00073378
33,2020.89,0.71468,0.80414,0.95462,0.85918,0.87208,0.89994,0.59291,1.09945,1.29336,1.0888,0.000718144,0.000718144,0.000718144
34,2081.23,0.8955,1.14479,1.08144,0.80331,0.80952,0.83921,0.59709,1.1476,1.35122,1.1079,0.0006932,0.0006932,0.0006932
35,2141.79,0.71644,0.8175,0.91367,0.76608,0.78026,0.78271,0.55515,1.17765,1.53823,1.12314,0.0006536,0.0006536,0.0006536
36,2202.48,0.89072,0.93215,0.99732,0.74029,0.7619,0.82682,0.56035,1.18953,1.51394,1.15642,0.000614,0.000614,0.000614
37,2261.4,0.7154,0.76289,0.93587,0.74029,0.7619,0.82682,0.56035,1.18953,1.51394,1.15642,0.0005744,0.0005744,0.0005744
38,2321.15,0.81631,0.90179,0.96211,0.82734,0.80952,0.8694,0.56647,1.22799,1.45951,1.18927,0.0005348,0.0005348,0.0005348
39,2384.12,0.90791,1.69696,1.02544,0.77286,0.81014,0.88863,0.60192,1.16544,1.36346,1.13072,0.0004952,0.0004952,0.0004952
40,2444.5,0.93833,0.94283,0.99955,0.8168,0.84955,0.91273,0.64134,1.07478,1.25964,1.10418,0.0004556,0.0004556,0.0004556
41,2502.83,0.79572,1.09617,0.91526,0.8168,0.84955,0.91273,0.64134,1.07478,1.25964,1.10418,0.000416,0.000416,0.000416
42,2560.91,0.85529,1.12912,1.03113,0.82403,0.80952,0.89461,0.63578,1.02775,1.27141,1.1051,0.0003764,0.0003764,0.0003764
43,2617.98,0.71795,0.92689,0.91477,0.79575,0.74266,0.86853,0.60892,1.09899,1.35895,1.13235,0.0003368,0.0003368,0.0003368
44,2674.71,0.70238,0.81941,0.87604,0.84014,0.71429,0.8729,0.58789,1.12574,1.39784,1.13849,0.0002972,0.0002972,0.0002972
45,2738.19,0.79708,0.90684,1.02043,0.84014,0.71429,0.8729,0.58789,1.12574,1.39784,1.13849,0.0002576,0.0002576,0.0002576
46,2798.11,0.6608,0.87266,0.86949,0.83042,0.71429,0.86829,0.6154,1.06328,1.36082,1.11775,0.000218,0.000218,0.000218
47,2857.74,0.8302,1.12913,0.90825,0.84828,0.79916,0.88013,0.63522,1.03062,1.29574,1.0982,0.0001784,0.0001784,0.0001784
48,2917.49,0.79844,0.96319,0.94022,0.81124,0.80952,0.89978,0.65376,0.98849,1.21176,1.0774,0.0001388,0.0001388,0.0001388
49,2976.48,0.73075,0.91645,0.94066,0.81124,0.80952,0.89978,0.65376,0.98849,1.21176,1.0774,9.92e-05,9.92e-05,9.92e-05
50,3042.26,0.78286,1.0533,0.98788,0.77366,0.90476,0.89788,0.65668,0.96439,1.16006,1.06562,5.96e-05,5.96e-05,5.96e-05
