epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,107.893,1.66176,3.2362,1.64467,0.01,0.71429,0.16945,0.09358,1.56095,2.92586,1.45951,4e-05,4e-05,4e-05
2,167.137,1.32906,3.08852,1.30714,0.014,1,0.50748,0.29834,1.22979,2.81489,1.11661,9.802e-05,9.802e-05,9.802e-05
3,230.872,1.17281,2.58587,1.13955,0.014,1,0.48213,0.26705,1.3371,2.71819,1.09792,0.000153664,0.000153664,0.000153664
4,291.709,1.10569,1.84865,1.12913,0.74952,0.28507,0.46835,0.23366,1.37755,2.546,1.17956,0.000206932,0.000206932,0.000206932
5,352.769,1.01824,1.48715,1.0477,0.59799,0.42857,0.54306,0.30424,1.25609,2.24285,1.10367,0.000257824,0.000257824,0.000257824
6,411.447,1.02164,1.59714,1.13794,0.75341,0.47619,0.73228,0.43421,1.09187,2.15559,1.038,0.00030634,0.00030634,0.00030634
7,471.338,1.01377,1.38929,1.06435,1,0.39502,0.76783,0.44279,1.07305,2.21603,1.05279,0.00035248,0.00035248,0.00035248
8,532.258,1.19055,1.25524,1.07936,0.87249,0.28571,0.73557,0.46507,1.06858,2.21706,1.04596,0.000396244,0.000396244,0.000396244
9,590.896,1.06278,1.30379,1.0585,1,0.31126,0.70253,0.49146,1.00136,2.23775,1.04667,0.000437632,0.000437632,0.000437632
10,650.006,0.90039,1.21899,1.03733,1,0.31672,0.69049,0.50645,1.01817,2.23739,1.07133,0.000476644,0.000476644,0.000476644
11,708.539,1.10787,1.16847,1.10758,1,0.32289,0.80939,0.58502,1.06178,2.23089,1.10331,0.00051328,0.00051328,0.00051328
12,768.967,1.1799,1.20062,1.01279,1,0.32984,0.81366,0.57968,1.0932,2.14471,1.10063,0.00054754,0.00054754,0.00054754
13,827.754,0.87551,1.07521,0.99518,0.91376,0.50557,0.8033,0.51627,1.26598,1.9686,1.13965,0.000579424,0.000579424,0.000579424
14,887.481,0.9263,1.36698,1.00812,0.9084,0.47256,0.77684,0.52126,1.2539,1.88578,1.13312,0.000608932,0.000608932,0.000608932
15,946.571,1.07861,1.24147,1.11949,0.84705,0.47619,0.74653,0.54054,1.16458,1.80872,1.12683,0.000636064,0.000636064,0.000636064
16,1007.82,1.11197,1.08778,1.02229,0.87016,0.52381,0.76054,0.56434,1.12569,1.71784,1.11866,0.00066082,0.00066082,0.00066082
17,1067.09,0.88937,1.0908,0.98434,0.66839,0.66667,0.80096,0.55992,1.16633,1.56174,1.08205,0.0006832,0.0006832,0.0006832
18,1126.75,0.8878,2.05204,1.10175,0.69275,0.75191,0.80009,0.5661,1.10552,1.46819,1.08238,0.000703204,0.000703204,0.000703204
19,1187.02,1.0019,1.05619,1.01686,0.72439,0.75134,0.78461,0.55128,1.11376,1.40585,1.09276,0.000720832,0.000720832,0.000720832
20,1247.98,1.17174,1.29095,1.0998,0.61035,0.74632,0.72769,0.51281,1.13076,1.42596,1.08942,0.000736084,0.000736084,0.000736084
21,1305.26,0.88354,1.00451,0.95772,0.59253,0.62339,0.75507,0.50809,1.12737,1.48979,1.07911,0.00074896,0.00074896,0.00074896
22,1363.04,0.88629,1.04324,0.97988,0.70678,0.57143,0.73461,0.54306,1.07796,1.5,1.05957,0.00075946,0.00075946,0.00075946
23,1420.09,1.06103,1.06134,1.21001,0.91916,0.54234,0.78093,0.51452,1.10342,1.53607,1.07751,0.000767584,0.000767584,0.000767584
24,1479.9,0.91712,1.03814,0.98891,0.91387,0.50623,0.68645,0.48892,1.11195,1.61796,1.08203,0.000773332,0.000773332,0.000773332
25,1539.76,0.83471,1.33774,1.06041,0.60638,0.52381,0.65605,0.46497,1.14387,1.67363,1.10788,0.000776704,0.000776704,0.000776704
26,1599.19,0.84627,0.91708,0.976,0.62189,0.5489,0.61966,0.43088,1.20305,1.73635,1.18011,0.0007777,0.0007777,0.0007777
27,1658.41,0.86963,1.39496,0.94446,0.60259,0.57789,0.64148,0.45943,1.14134,1.75946,1.14836,0.00077632,0.00077632,0.00077632
28,1718.57,0.86088,0.9926,0.96213,0.68323,0.61905,0.73866,0.51535,1.12682,1.73993,1.13286,0.000772564,0.000772564,0.000772564
29,1779.62,0.84618,0.93341,1.00976,0.68323,0.61905,0.73866,0.51535,1.12682,1.73993,1.13286,0.000766432,0.000766432,0.000766432
